n,naive_ms,cache_ms,speedup,repeats_naive,repeats_cache
64,0.004187,0.003422,1.223658,73240,73240
128,0.019421,0.013407,1.448509,18308,18308
256,0.195542,0.050246,3.891686,1144,4576
384,0.402266,0.111412,3.610622,508,2032
512,0.787095,0.202390,3.889003,286,1144
768,1.620638,0.439138,3.690499,127,508
1024,3.126551,0.808059,3.869209,71,284
1536,12.330832,1.932202,6.381751,31,124
2048,35.892346,4.790001,7.493181,17,68
