n,naive_ms,dual_ms,dual_unroll4_ms,pairwise_ms,speedup_dual,speedup_dual_unroll4,speedup_pairwise,repeats_naive,repeats_dual,repeats_dual_unroll4,repeats_pairwise
1024,0.003528,0.001627,0.000866,0.003473,2.168723,4.071495,1.015683,195312,195312,390624,195312
4096,0.014025,0.009148,0.005268,0.014728,1.533100,2.662034,0.952255,48828,48828,48828,48828
16384,0.054473,0.029526,0.014366,0.054699,1.844909,3.791887,0.995876,12207,12207,24414,12207
65536,0.226047,0.119173,0.055492,0.227243,1.896798,4.073500,0.994738,3051,3051,6102,3051
262144,0.962121,0.466955,0.252817,0.810667,2.060416,3.805610,1.186827,762,762,1524,762
1048576,3.534792,2.041303,0.905726,2.938522,1.731635,3.902717,1.202915,190,190,380,190
4194304,14.947089,7.333913,4.437298,15.424547,2.038078,3.368512,0.969046,47,47,47,47
16777216,59.440364,34.200564,22.558909,69.689382,1.737994,2.634895,0.852933,11,11,11,11
