n,naive_ms,cache_ms,speedup,repeats_naive,repeats_cache
64,0.000851,0.001105,0.770524,292960,292960
128,0.006446,0.003895,1.654851,36616,73232
256,0.026751,0.015198,1.760131,9152,18304
384,0.061072,0.034118,1.790020,4064,8128
512,0.161674,0.063385,2.550661,2288,4576
768,0.354223,0.140278,2.525140,1016,2032
1024,2.123868,0.244378,8.690909,142,1136
1536,5.233935,0.677635,7.723828,62,496
2048,31.081324,2.408842,12.903015,17,136
