n,naive_ms,cache_ms,cache_unroll4_ms,speedup_cache,speedup_unroll4,repeats_naive,repeats_cache,repeats_unroll4
64,0.000851,0.001105,0.000810,0.770524,1.051191,292960,292960,292960
128,0.006446,0.003895,0.003559,1.654851,1.811484,36616,73232,73232
256,0.026751,0.015198,0.014980,1.760131,1.785800,9152,18304,18304
384,0.061072,0.034118,0.032860,1.790020,1.858535,4064,8128,8128
512,0.161674,0.063385,0.057206,2.550661,2.826158,2288,4576,4576
768,0.354223,0.140278,0.130183,2.525140,2.720950,1016,2032,2032
1024,2.123868,0.244378,0.232820,8.690909,9.122373,142,1136,1136
1536,5.233935,0.677635,0.625387,7.723828,8.369111,62,496,496
2048,31.081324,2.408842,3.242984,12.903015,9.584175,17,136,68
