n,naive_ms,dual_ms,speedup,repeats_naive,repeats_dual
1024,0.000371,0.000196,1.890196,781248,1562496
4096,0.001560,0.000817,1.910305,195312,390624
16384,0.006557,0.003286,1.995521,48828,97656
65536,0.025715,0.013209,1.946724,12204,24408
262144,0.104513,0.052211,2.001743,3048,6096
1048576,0.422897,0.211015,2.004112,760,1520
4194304,2.019104,1.458574,1.384300,188,188
16777216,9.055991,6.928902,1.306988,44,44
