n,naive_ms,dual_ms,dual_unroll4_ms,pairwise_ms,speedup_dual,speedup_dual_unroll4,speedup_pairwise,repeats_naive,repeats_dual,repeats_dual_unroll4,repeats_pairwise
1024,0.001232,0.000627,0.000312,0.000936,1.966184,3.944504,1.316431,195312,390624,781248,390624
4096,0.004980,0.002541,0.001288,0.005752,1.959801,3.866529,0.865769,48828,97656,195312,48828
16384,0.020182,0.010341,0.005261,0.023493,1.951599,3.835996,0.859065,12207,24414,48828,12207
65536,0.080699,0.041391,0.023113,0.112732,1.949678,3.491494,0.715850,3051,6102,12204,3051
262144,0.331089,0.166553,0.091712,0.488119,1.987896,3.610101,0.678296,762,1524,3048,762
1048576,1.296074,0.689855,0.437381,3.200773,1.878761,2.963257,0.404925,190,380,760,190
4194304,6.276851,4.011682,2.404406,16.052124,1.564643,2.610562,0.391029,47,94,94,47
16777216,28.650891,22.197182,22.262898,89.367000,1.290745,1.286934,0.320598,11,11,11,11
