n,naive_ms,cache_ms,cache_unroll4_ms,speedup_cache,speedup_unroll4,repeats_naive,repeats_cache,repeats_unroll4
64,0.000897,0.000589,0.000635,1.522454,1.412970,292960,585920,585920
128,0.006759,0.002669,0.002545,2.532787,2.656246,36616,146464,146464
256,0.027980,0.010588,0.009570,2.642496,2.923765,9152,36608,36608
384,0.066580,0.021999,0.020743,3.026489,3.209792,4064,16256,16256
512,0.140099,0.038084,0.038199,3.678687,3.667645,2288,9152,9152
768,0.387582,0.086380,0.088058,4.486952,4.401431,1016,4064,4064
1024,2.141087,0.154066,0.165237,13.897187,12.957636,142,2272,2272
1536,5.727152,0.415166,0.411174,13.794857,13.928786,62,496,496
2048,33.720876,1.250651,1.262893,26.962665,26.701285,17,272,272
