n,naive_ms,cache_ms,cache_unroll4_ms,speedup_cache,speedup_unroll4,repeats_naive,repeats_cache,repeats_unroll4
64,0.000903,0.001141,0.000820,0.791419,1.101856,292960,292960,292960
128,0.006789,0.004073,0.006794,1.667030,0.999344,36616,73232,73232
256,0.060795,0.031533,0.024789,1.927994,2.452498,4576,9152,9152
384,0.129354,0.079284,0.058235,1.631521,2.221235,2032,4064,4064
512,0.254104,0.115108,0.098604,2.207516,2.577014,1144,2288,2288
768,0.700431,0.277682,0.231140,2.522421,3.030335,508,1016,1016
1024,3.335070,0.500330,0.489865,6.665738,6.808147,71,568,568
1536,7.004510,1.146008,1.150626,6.112097,6.087563,31,248,248
2048,37.766971,3.649994,3.443459,10.347132,10.967743,17,68,68
