n,naive_ms,dual_ms,dual_unroll4_ms,pairwise_ms,speedup_dual,speedup_dual_unroll4,speedup_pairwise,repeats_naive,repeats_dual,repeats_dual_unroll4,repeats_pairwise
1024,0.000875,0.000533,0.000258,0.000571,1.639727,3.388683,1.531424,390624,390624,781248,390624
4096,0.004069,0.002179,0.001141,0.002646,1.867015,3.564824,1.537760,97656,195312,195312,97656
16384,0.016338,0.007393,0.004413,0.011743,2.209832,3.702346,1.391209,24414,48828,48828,24414
65536,0.059309,0.032988,0.017949,0.124448,1.797910,3.304298,0.476579,6102,6102,12204,3051
262144,0.235940,0.125555,0.080771,0.511040,1.879175,2.921115,0.461686,1524,3048,3048,762
1048576,1.124038,0.594254,0.310325,2.339208,1.891511,3.622135,0.480521,190,380,760,190
4194304,4.968629,3.002182,2.624117,13.284896,1.655006,1.893448,0.374006,94,94,94,47
16777216,19.795482,19.021014,16.754614,59.875982,1.040716,1.181494,0.330608,11,22,22,11
