n,naive_ms,dual_ms,speedup,repeats_naive,repeats_dual
1024,0.003528,0.001627,2.168723,195312,195312
4096,0.014025,0.009148,1.533100,48828,48828
16384,0.054473,0.029526,1.844909,12207,12207
65536,0.226047,0.119173,1.896798,3051,3051
262144,0.962121,0.466955,2.060416,762,762
1048576,3.534792,2.041303,1.731635,190,190
4194304,14.947089,7.333913,2.038078,47,47
16777216,59.440364,34.200564,1.737994,11,11
