n,naive_ms,dual_ms,dual_unroll4_ms,pairwise_ms,speedup_dual,speedup_dual_unroll4,speedup_pairwise,repeats_naive,repeats_dual,repeats_dual_unroll4,repeats_pairwise
1024,0.000371,0.000196,0.000104,0.000292,1.890196,3.567867,1.273182,781248,1562496,3124992,781248
4096,0.001560,0.000817,0.000413,0.001293,1.910305,3.780366,1.206539,195312,390624,781248,195312
16384,0.006557,0.003286,0.002203,0.006317,1.995521,2.976494,1.037922,48828,97656,97656,48828
65536,0.025715,0.013209,0.009008,0.055881,1.946724,2.854720,0.460181,12204,24408,24408,6102
262144,0.104513,0.052211,0.035721,0.252386,2.001743,2.925787,0.414099,3048,6096,6096,1524
1048576,0.422897,0.211015,0.156533,0.941725,2.004112,2.701652,0.449067,760,1520,1520,380
4194304,2.019104,1.458574,1.406398,5.507021,1.384300,1.435657,0.366642,188,188,188,47
16777216,9.055991,6.928902,6.929827,26.725082,1.306988,1.306813,0.338857,44,44,44,11
