n,naive_ms,cache_ms,speedup,repeats_naive,repeats_cache
64,0.006074,0.004266,1.423933,36620,73240
128,0.025258,0.015416,1.638496,9154,18308
256,0.102782,0.061821,1.662578,2288,4576
384,0.240611,0.134539,1.788413,1016,2032
512,0.441579,0.249673,1.768632,572,1144
768,1.015624,0.541095,1.876981,254,508
1024,2.734959,1.892759,1.444959,142,142
1536,11.510723,4.396089,2.618401,31,62
2048,61.113700,9.084500,6.727250,17,34
