n,naive_ms,dual_ms,speedup,repeats_naive,repeats_dual
1024,0.001232,0.000627,1.966184,195312,390624
4096,0.004980,0.002541,1.959801,48828,97656
16384,0.020182,0.010341,1.951599,12207,24414
65536,0.080699,0.041391,1.949678,3051,6102
262144,0.331089,0.166553,1.987896,762,1524
1048576,1.296074,0.689855,1.878761,190,380
4194304,6.276851,4.011682,1.564643,47,94
16777216,28.650891,22.197182,1.290745,11,11
