n,naive_ms,cache_ms,cache_unroll4_ms,speedup_cache,speedup_unroll4,repeats_naive,repeats_cache,repeats_unroll4
64,0.006074,0.004266,0.003867,1.423933,1.570808,36620,73240,73240
128,0.025258,0.015416,0.016053,1.638496,1.573439,9154,18308,18308
256,0.102782,0.061821,0.061428,1.662578,1.673218,2288,4576,4576
384,0.240611,0.134539,0.134525,1.788413,1.788599,1016,2032,2032
512,0.441579,0.249673,0.239455,1.768632,1.844099,572,1144,1144
768,1.015624,0.541095,0.521265,1.876981,1.948386,254,508,508
1024,2.734959,1.892759,1.674069,1.444959,1.633719,142,142,142
1536,11.510723,4.396089,3.696971,2.618401,3.113555,31,62,62
2048,61.113700,9.084500,8.275747,6.727250,7.384675,17,34,34
